date,adjustable dumbbells,Massage Gun,kettlebell,yoga mat,pull up bar,pickleball paddle,tennis racket bag,ski goggles,Jump Rope,ski glove,ski boot bag,neck warmer
2023-10-22,6,25,37,27,14,21,1,15,33,1,5,34
2023-10-29,5,25,36,24,14,22,1,18,31,1,6,42
2023-11-05,7,27,39,27,15,24,1,21,32,2,9,45
2023-11-12,7,31,42,26,15,24,2,25,32,2,8,46
2023-11-19,11,44,44,34,17,33,2,41,30,4,16,61
2023-11-26,9,38,45,35,17,31,2,40,33,4,16,89
2023-12-03,8,38,43,33,17,28,2,40,31,4,16,76
2023-12-10,7,46,43,31,17,28,2,47,34,3,16,67
2023-12-17,8,53,40,28,16,26,1,43,31,3,15,65
2023-12-24,10,57,49,31,18,29,1,55,30,3,17,53
2023-12-31,11,36,59,35,20,25,1,51,38,4,18,51
2024-01-07,9,29,56,33,17,23,1,61,36,5,17,69
2024-01-14,8,28,54,32,17,23,1,61,35,6,20,74
2024-01-21,8,28,56,32,16,23,1,52,38,4,17,45
2024-01-28,8,29,58,35,16,26,1,50,43,3,17,34
2024-02-04,7,31,61,33,16,30,2,45,42,3,16,29
2024-02-11,7,27,56,30,15,25,2,43,36,3,16,23
2024-02-18,7,28,61,32,16,28,1,41,40,2,14,25
2024-02-25,7,27,58,31,15,28,1,32,40,2,13,23
2024-03-03,8,27,55,33,16,28,2,28,43,2,12,17
2024-03-10,6,26,50,30,18,30,2,23,41,2,7,19
2024-03-17,6,25,51,31,16,31,2,20,40,2,7,16
2024-03-24,7,26,51,29,17,31,2,19,41,1,6,16
2024-03-31,8,25,52,31,17,28,2,13,41,1,5,14
2024-04-07,7,25,53,29,16,30,2,10,40,1,4,13
2024-04-14,6,25,51,29,16,34,2,8,40,1,3,11
2024-04-21,6,33,50,30,16,34,2,6,38,1,3,15
2024-04-28,6,24,48,29,16,33,2,5,42,1,2,14
2024-05-05,6,28,43,28,16,33,2,5,39,0,1,9
2024-05-12,6,25,46,28,16,36,2,6,41,0,2,12
2024-05-19,7,25,45,29,15,36,2,6,40,1,2,12
2024-05-26,6,24,47,29,16,39,2,6,39,0,2,12
2024-06-02,7,26,45,29,16,43,2,7,38,0,3,13
2024-06-09,7,26,47,30,16,46,2,8,38,1,0,14
2024-06-16,7,27,45,37,16,42,2,7,37,0,0,13
2024-06-23,6,26,46,30,16,39,1,6,38,0,2,14
2024-06-30,7,25,43,29,16,42,2,7,36,0,2,13
2024-07-07,7,25,44,32,15,46,2,7,34,0,2,11
2024-07-14,8,28,47,32,16,48,2,8,35,0,2,14
2024-07-21,7,27,50,30,16,45,2,8,36,1,3,12
2024-07-28,6,27,44,32,16,45,3,8,35,1,2,12
2024-08-04,6,27,45,32,17,42,3,9,39,1,2,10
2024-08-11,7,27,43,31,16,47,2,9,45,1,2,11
2024-08-18,6,27,44,31,16,43,2,8,40,1,3,14
2024-08-25,7,27,44,30,17,42,2,9,38,1,3,14
2024-09-01,7,26,43,31,16,43,2,8,36,1,4,14
2024-09-08,6,26,46,30,16,39,2,9,36,1,3,17
2024-09-15,7,25,43,30,15,37,2,9,36,1,3,17
2024-09-22,7,24,41,29,15,35,2,11,34,1,3,19
2024-09-29,7,26,43,28,15,35,2,11,35,1,4,21
2024-10-06,7,27,43,29,13,36,2,13,34,1,6,26
2024-10-13,7,24,40,26,13,34,2,14,35,1,4,33
2024-10-20,7,29,39,27,14,36,2,15,36,1,5,30
2024-10-27,7,27,41,27,14,35,2,19,33,2,6,31
2024-11-03,7,27,40,28,14,35,2,21,35,2,7,40
2024-11-10,9,29,43,33,15,37,2,30,36,2,9,49
2024-11-17,10,34,44,32,15,41,2,39,36,4,13,75
2024-11-24,13,42,43,37,17,56,2,55,35,5,20,81
2024-12-01,12,41,44,39,16,45,3,57,35,5,22,89
2024-12-08,10,44,41,35,15,41,2,59,35,5,22,89
2024-12-15,9,50,40,38,16,41,2,61,36,5,20,79
2024-12-22,12,59,42,33,18,44,2,73,34,5,24,65
2024-12-29,13,39,59,38,20,43,2,78,38,5,25,64
2025-01-05,10,33,59,39,17,37,1,80,40,6,25,73
2025-01-12,10,31,59,39,18,39,2,71,40,5,23,55
2025-01-19,9,27,57,37,17,35,2,71,38,5,20,58
2025-01-26,9,29,52,36,17,36,2,59,43,4,19,41
2025-02-02,8,28,56,37,16,38,2,57,46,4,18,37
2025-02-09,7,30,50,33,15,38,2,53,41,4,18,40
2025-02-16,8,28,59,32,17,39,2,54,43,4,15,40
2025-02-23,8,28,60,35,17,42,2,40,42,3,14,26
2025-03-02,7,27,55,35,18,42,2,32,43,2,12,22
2025-03-09,7,26,52,32,17,42,2,27,42,2,11,17
2025-03-16,8,29,56,33,17,43,2,22,45,2,8,19
2025-03-23,8,28,55,33,17,43,2,18,42,1,6,17
2025-03-30,9,28,57,32,18,47,2,14,41,1,5,15
2025-04-06,7,26,55,29,17,43,2,12,44,1,5,13
2025-04-13,8,32,54,32,19,45,2,9,39,1,3,13
2025-04-20,8,27,58,32,18,49,2,8,40,1,3,10
2025-04-27,8,31,59,32,18,47,3,8,40,1,2,13
2025-05-04,8,28,67,34,18,47,2,8,39,0,2,13
2025-05-11,8,30,63,32,18,48,2,13,40,0,2,14
2025-05-18,8,26,59,32,18,47,2,8,42,1,2,17
2025-05-25,9,29,60,31,19,50,3,7,40,0,0,14
2025-06-01,10,29,65,36,20,51,3,8,44,0,4,20
2025-06-08,10,28,61,37,19,54,3,8,42,1,2,21
2025-06-15,10,28,62,45,19,54,3,9,41,1,2,18
2025-06-22,9,35,63,37,20,55,2,9,53,1,4,18
2025-06-29,9,28,60,36,21,53,3,10,81,1,2,15
2025-07-06,11,52,62,43,21,60,3,10,85,0,3,15
2025-07-13,10,40,62,42,21,58,3,10,73,1,3,14
2025-07-20,10,41,61,46,22,58,3,11,100,1,3,17
